𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	𝗪	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	𝗪	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	𝗪	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	53	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	𝗪	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	𝗪	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	53	𝗪	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	𝗪	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	𝗪	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	71	𝗪	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	54	𝗪	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	𝗪	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	𝗪	56	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	72	72	𝗪	68	67	66	65	64	63	62	61	60	59	58	57	56	55	55	55	𝗪	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	𝗪	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	𝗪	57	57	57	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	73	73	73	𝗪	68	67	66	65	64	63	62	61	60	59	58	57	56	56	56	56	𝗪	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	𝗪	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	51	𝗪	58	58	58	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	74	74	74	74	𝗪	68	67	66	65	64	63	62	61	60	59	58	57	57	57	57	57	𝗪	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	𝗪	49	49	49	49	49	49	49	49	49	49	49	49	49	49	50	51	𝗪	59	59	59	59	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	75	75	75	75	75	𝗪	68	67	66	65	64	63	62	61	60	59	58	58	58	58	58	58	𝗪	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	𝗪	48	48	48	48	48	48	48	48	48	48	48	48	48	49	50	51	𝗪	60	60	60	60	60	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	76	76	76	76	76	76	𝗪	68	67	66	65	64	63	62	61	60	59	59	59	59	59	59	59	𝗪	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	𝗪	47	47	47	47	47	47	47	47	47	47	47	47	48	49	50	51	𝗪	61	61	61	61	61	61	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	77	77	77	77	77	77	77	𝗪	68	67	66	65	64	63	62	61	60	60	60	60	60	60	60	60	𝗪	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	𝗪	46	46	46	46	46	46	46	46	46	46	46	47	48	49	50	51	𝗪	62	62	62	62	62	62	62	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	78	78	78	78	78	78	78	78	𝗪	68	67	66	65	64	63	62	61	61	61	61	61	61	61	61	61	𝗪	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	𝗪	45	45	45	45	45	45	45	45	45	45	46	47	48	49	50	51	𝗪	63	63	63	63	63	63	63	63	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	79	79	79	79	79	79	79	79	79	𝗪	68	67	66	65	64	63	62	62	62	62	62	62	62	62	62	62	𝗪	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	𝗪	44	44	44	44	44	44	44	44	44	45	46	47	48	49	50	51	𝗪	64	64	64	64	64	64	64	64	64	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	80	80	80	80	80	80	80	80	80	80	𝗪	68	67	66	65	64	63	63	63	63	63	63	63	63	63	63	63	𝗪	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	𝗪	43	43	43	43	43	43	43	43	44	45	46	47	48	49	50	51	𝗪	65	65	65	65	65	65	65	65	65	65	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	81	81	81	81	81	81	81	81	81	81	81	𝗪	68	67	66	65	64	64	64	64	64	64	64	64	64	64	64	64	𝗪	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	𝗪	42	42	42	42	42	42	42	43	44	45	46	47	48	49	50	51	𝗪	66	66	66	66	66	66	66	66	66	66	66	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	82	82	82	82	82	82	82	82	82	82	82	82	𝗪	68	67	66	65	65	65	65	65	65	65	65	65	65	65	65	65	𝗪	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	𝗪	41	41	41	41	41	41	42	43	44	45	46	47	48	49	50	51	𝗪	67	67	67	67	67	67	67	67	67	67	67	67	67	68	69	70	𝗪	
𝗪	85	84	83	83	83	83	83	83	83	83	83	83	83	83	83	83	𝗪	68	67	66	66	66	66	66	66	66	66	66	66	66	66	66	66	𝗪	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	𝗪	40	40	40	40	40	41	42	43	44	45	46	47	48	49	50	51	𝗪	68	68	68	68	68	68	68	68	68	68	68	68	68	68	69	70	𝗪	
𝗪	85	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	𝗪	68	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	𝗪	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	𝗪	39	39	39	39	40	41	42	43	44	45	46	47	48	49	50	51	𝗪	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	70	𝗪	
𝗪	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	𝗪	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	𝗪	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	𝗪	38	38	38	39	40	41	42	43	44	45	46	47	48	49	50	51	𝗪	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	𝗪	
𝗪	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	𝗪	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	𝗪	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	𝗪	37	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	𝗪	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	𝗪	
𝗪	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	𝗪	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	
𝗪	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	𝗪	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	𝗪	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	𝗪	32	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	𝗪	32	31	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	𝗪	32	31	30	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	𝗪	32	31	30	29	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	𝗪	32	31	30	29	28	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	𝗪	32	31	30	29	28	27	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	𝗪	32	31	30	29	28	27	26	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	𝗪	32	31	30	29	28	27	26	25	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	𝗪	32	31	30	29	28	27	26	25	24	23	23	23	23	23	23	23	23	23	23	23	23	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	𝗪	32	31	30	29	28	27	26	25	24	23	22	22	22	22	22	22	22	22	22	22	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	𝗪	32	31	30	29	28	27	26	25	24	23	22	21	21	21	21	21	21	21	21	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	𝗪	32	31	30	29	28	27	26	25	24	23	22	21	20	20	20	20	20	20	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	𝗪	32	31	30	29	28	27	26	25	24	23	22	21	20	19	19	19	19	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	𝗪	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	18	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
𝗪	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	𝗘	𝗪	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	54	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	𝗪	
